Date,Humidity,Wind Speed,Dew Point,Temperature,Pressure
1/10/2019,83,4.5,76,81.9,28.1
2/10/2019,81.6,4.6,77.4,83.8,28.1
3/10/2019,82,3.7,75.3,81.7,28.1
4/10/2019,85.4,2.7,73.9,78.6,28.1
5/10/2019,87.4,3.5,75.3,79.4,28.1
6/10/2019,86.3,2.5,73.3,77.9,28.1
7/10/2019,82.9,2.4,76,81.6,28.1
8/10/2019,86.2,3.1,76.3,80.8,28
9/10/2019,88.7,1.7,74.5,78.1,28
10/10/2019,85.6,3.4,72.9,77.3,28.1
11/10/2019,83.4,3.2,73.3,78.6,28.1
12/10/2019,84.3,2.2,76.4,82,28.1
13/10/2019,85.2,2.3,76.3,81.4,28.1
14/10/2019,81,4.7,76.9,83.4,28.1
15/10/2019,81.9,8.8,76,82.3,28.1
16/10/2019,92.9,3.9,73.2,75.5,28.1
17/10/2019,84.6,5.1,73.9,78.8,28.1
18/10/2019,86.1,5.6,75.2,79.8,28.1
19/10/2019,89.9,5.1,75.7,79.2,28.1
20/10/2019,91.5,3.1,75.5,78.3,28.1
21/10/2019,85.5,4.5,74.4,79.2,28.1
22/10/2019,86.2,3,74,78.7,28
23/10/2019,86,3.5,74.3,79.1,28
24/10/2019,89.5,4.1,74.7,78.2,28
25/10/2019,81.5,4.1,75.4,81.8,28
26/10/2019,79.9,5.3,74.8,82.1,28.1
27/10/2019,77.3,4.1,75.7,83.8,28.1
28/10/2019,83.4,4.9,76.7,82.3,28.1
29/10/2019,87.7,3.4,73.3,77,28.1
30/10/2019,88.6,5.1,75,78.8,28.1
31/10/2019,87,5.9,74.8,79.2,28.1
1/11/2019,82.7,4.8,75.3,81.3,28.1
2/11/2019,79.8,4.3,75.3,82.4,28.1
3/11/2019,77.9,3.4,75.2,83.2,28.1
4/11/2019,66.9,3.2,71.1,83.8,28.1
5/11/2019,69.7,2.4,71.3,82.5,28.1
6/11/2019,79.5,2,74.1,81.5,28
7/11/2019,71.3,2,71.8,82.4,28
8/11/2019,75.2,1.9,72.7,81.6,28.1
9/11/2019,73.5,3.7,72.3,81.7,28.1
10/11/2019,66.5,4.6,68.1,80.7,28.1
11/11/2019,75.2,4,71.2,79.9,28.1
12/11/2019,68.6,5.2,67.8,79.1,28.1
13/11/2019,70.9,4.7,67.9,78.4,28.2
14/11/2019,78,4.2,70.2,77.9,28.1
15/11/2019,78.8,2.9,71.6,78.5,28.1
16/11/2019,68.3,3.7,69.9,81.4,28.1
17/11/2019,65.2,5.4,68.5,81.8,28.1
18/11/2019,64.2,4,67.1,80.7,28.1
19/11/2019,68.3,2.8,70,81.5,28.1
20/11/2019,78.1,4,71.3,78.8,28.1
21/11/2019,77.9,4,70.2,77.7,28.2
22/11/2019,76.5,2.8,68.5,76.7,28.2
23/11/2019,62,4.3,65.2,79.7,28.2
24/11/2019,71.3,3,67.5,77.8,28.2
25/11/2019,74.8,4.9,69.1,77.7,28.1
26/11/2019,71.8,5,66.7,76.8,28.1
27/11/2019,69,4.6,64,74,28.1
28/11/2019,77.5,4.9,71,78.6,28.1
29/11/2019,73.7,4.3,69,76.7,28.1
30/11/2019,76.9,4.3,71.2,79.2,28.1
1/12/2019,80.7,5.5,71.7,78.2,28.2
2/12/2019,86.3,5.8,71.1,75.3,28.2
3/12/2019,88.4,2.4,71.3,74.8,28.2
4/12/2019,77.4,6.3,68.8,76.6,28.2
5/12/2019,74.3,3.9,67.5,76.6,28.2
6/12/2019,76.3,4.1,66.2,74.5,28.2
7/12/2019,72.4,4.9,65.3,75.3,28.2
8/12/2019,79,3.4,68.8,76,28.2
9/12/2019,78,3.5,68.9,76.5,28.2
10/12/2019,69.8,3,66.8,77.8,28.1
11/12/2019,69.6,2.2,65.7,76.8,28.1
12/12/2019,69.2,3.6,64.8,76.2,28.1
13/12/2019,69.5,3.2,67.2,78.5,28.1
14/12/2019,75.2,4.8,69.5,78,28.2
15/12/2019,69.9,5.1,67,77.9,28.2
16/12/2019,73.6,4.3,66.3,75.7,28.2
17/12/2019,73.9,5,67.1,76.4,28.2
18/12/2019,73,3.9,66.6,76.3,28.2
19/12/2019,75.4,2.4,67,75.8,28.2
20/12/2019,73.2,2.2,65.8,75.8,28.1
21/12/2019,73.7,3.6,66.8,76.2,28.1
22/12/2019,72.5,4.5,66.3,76.3,28.2
23/12/2019,72.6,5.2,64.8,74.8,28.2
24/12/2019,71.4,5.6,66.4,76.8,28.2
25/12/2019,72.7,5.7,68.2,77.8,28.2
